state,name,pop2019,age_over_65_2019,households_speak_spanish_2019,hs_grad_2019,bachelors_2019,household_has_computer_2019,poverty_2019,uninsured_2019,unemployment_rate_2019,per_capita_income_2019,median_household_income_2019
Alabama,Autauga County,55380,15,2.9,88.5,26.6,73,15.2,7.1,3.5,29819,58731
Alabama,Baldwin County,212830,20,4.6,90.8,31.9,76.3,10.4,8.9,4,32626,58320
Alabama,Barbour County,25361,18.6,5.2,73.2,11.6,51.9,30.7,11.3,9.4,18473,32525
Alabama,Blount County,57681,17.9,6.6,80.5,13.1,63.5,13.6,10.8,3.1,24747,49358
Alabama,Calhoun County,114618,17.2,3.1,84.4,18.5,67.8,17.9,9.5,7.2,25345,47255
Alabama,Chambers County,33660,19.2,1.4,81.6,13.3,58.6,17.3,10.3,4,22729,42289
Alabama,Chilton County,44055,16,6.1,81.8,12.7,58.7,19.1,13,6.5,24658,47468
Alabama,Coffee County,51662,16.5,5.2,85.9,22.8,69.7,15.1,9.8,5.6,27806,55637
Alabama,Colbert County,54771,19.4,2.1,85.2,18.1,62.9,15.5,7.2,4.1,25536,48065
Alabama,Covington County,37200,20.8,1.3,83.4,15.3,57.2,18.6,11.1,7.8,23687,42189
Alabama,Cullman County,82853,18.2,3,81.6,13.9,62.3,14.9,11.1,4.3,23468,44918
Alabama,Dale County,49277,16.4,4.8,86.1,18.1,67.6,17.6,11.6,7,24645,47214
Alabama,Dallas County,39149,17.4,0.6,81.8,14.7,54.8,29.1,11.1,11.5,19612,33845
Alabama,DeKalb County,71310,16.7,9.1,74.8,13,60.5,21.1,13.7,3.7,21907,40440
Alabama,Elmore County,81144,14.9,2.2,86.6,25.1,71.5,11.5,7.4,4,29052,60891
Alabama,Escambia County,37057,17.7,1.1,81.1,12.5,46.3,22.2,14.2,11.5,19028,36275
Alabama,Etowah County,102748,18.7,2.3,84.6,17.8,63.4,17.4,10.6,5.4,24883,44637
Alabama,Franklin County,31466,16.9,10.3,77.2,14,53,19.4,11.7,3.9,21641,43514
Alabama,Geneva County,26417,20,3,80.3,12.5,60.8,22,12.6,5.2,21711,41732
Alabama,Houston County,104702,17.2,2.3,86,21.7,65.9,18.2,10.5,6.2,27097,47580
Alabama,Jackson County,51852,19.5,1.4,83.2,14,60.6,18.6,9.5,5,22596,41769
Alabama,Jefferson County,659680,15.4,3.2,90.1,33.4,71.1,16,9.2,6,32098,53901
Alabama,Lauderdale County,92556,19.7,2.1,87.4,23.5,66.6,14.6,9,4.4,28033,48094
Alabama,Lawrence County,33058,18.1,1.4,79.3,12.6,53.1,18,9.1,4.7,23450,44886
Alabama,Lee County,161152,11.6,3.3,90.9,35.3,79.7,19.6,7.8,4.6,27860,51463
Alabama,Limestone County,94727,15.1,4.3,84.7,25.7,74.5,13.6,9.6,6,28411,59686
Alabama,Madison County,362276,14.7,3.5,91.7,42.8,81.6,12.5,8.3,4.6,36620,65449
Alabama,Marshall County,95643,16.8,8.3,81.6,19.4,66.3,20.3,12.3,4.1,24453,45983
Alabama,Mobile County,414114,15.8,2.4,86.5,23.2,65.4,18.8,11.2,5.5,25861,47583
Alabama,Montgomery County,226941,14.6,2.4,86.7,33.4,68.3,19.4,10,6.2,29071,50124
Alabama,Morgan County,119213,17.1,5.8,84.1,22.4,70,14.6,9.6,4.9,27367,52156
Alabama,Pike County,33333,14.8,2.1,85,23.7,58.3,24.4,9.7,6.3,22453,37446
Alabama,Russell County,57952,13.9,4.6,83.8,17.8,63.5,20.7,11.5,6.1,23470,42443
Alabama,St. Clair County,87989,16.3,2.5,84.6,16.1,73.7,12.2,8.5,5.1,26409,58308
Alabama,Shelby County,213432,14.9,4.5,92.7,42.9,83.2,7.5,6.2,3.1,38549,77799
Alabama,Talladega County,80387,17.5,1.6,80.3,15,60.6,19.1,9.3,7.3,23305,41325
Alabama,Tallapoosa County,40541,21,1.7,80.7,18.4,67.2,18.9,8.2,8.2,25217,45828
Alabama,Tuscaloosa County,207305,12.9,3.2,88.3,30.7,71.4,17.7,7.2,4.8,26789,53326
Alabama,Walker County,64110,19,1.5,81.8,11.3,60.4,18.1,11.8,8.1,23882,43629
Alaska,Anchorage Municipality,293531,10.5,6.3,93.9,36.1,85.1,9,11.2,5.1,41415,84928
Alaska,Fairbanks North Star Borough,99072,9.8,4,94.5,31.4,83,8,9.8,6.1,37025,76992
Alaska,Kenai Peninsula Borough,58464,16.5,4.2,92.7,24.6,79.2,12.1,16,6.8,34226,66064
Alaska,Matanuska-Susitna Borough,105369,11.3,2.8,92.9,21.6,84.3,10.3,14.8,8.5,31232,75493
Arizona,Apache County,71511,15,4.4,80.4,12.3,43.5,35.5,25.1,10.6,15128,32508
Arizona,Cochise County,125867,21.7,24.6,87.4,23.1,77.3,16.6,7.8,5.9,26819,49260
Arizona,Coconino County,141274,12,7.8,90.5,36.2,78.7,17.6,11.2,5.9,27339,59460
Arizona,Gila County,53546,28.4,11.8,86.3,18.7,65.9,21.6,10,9.1,24251,43524
Arizona,Graham County,37996,13.7,20.4,85.3,15.2,68.1,22.6,6.9,8.2,18683,51353
Arizona,Maricopa County,4328810,14.8,18.8,87.7,32.7,82.3,13.8,10.6,4.5,33279,64468
Arizona,Mohave County,207695,29.6,8.3,86.1,12.9,75.3,16.4,8.9,7.5,26166,45587
Arizona,Navajo County,109270,17.4,7.9,83.4,15.3,59.3,27.9,13.2,12.4,18935,40067
Arizona,Pima County,1027207,19.2,24.3,88.4,32.4,78.9,16.8,9.2,6.2,29707,53379
Arizona,Pinal County,432793,19.9,17.8,85.8,19.5,80.4,13.2,8.8,6.4,24959,58174
Arizona,Santa Cruz County,46480,17.3,77.1,76.6,20.4,65.7,23.3,10.2,7.2,21480,41259
Arizona,Yavapai County,228067,30.6,8.4,91,25.9,81.4,13,9.8,5.3,30341,52451
Arizona,Yuma County,209468,18.5,48.8,73.3,15,67.5,19.4,12.7,9.5,21758,45243
Arkansas,Baxter County,41427,30.8,1.5,88.7,17.9,72.9,13.1,5.2,4.9,26863,42260
Arkansas,Benton County,265759,13.3,9,88.6,33.4,79.9,9.4,8.9,2.1,34442,66362
Arkansas,Boone County,37331,20.3,1.2,87.4,16.1,71.6,14.7,6.9,4.5,24727,45374
Arkansas,Craighead County,107345,13.5,3.9,89.3,26.2,72,16.6,8.8,5.2,26948,47286
Arkansas,Crawford County,62739,16.4,5.4,85,16,64.1,17.2,8.1,4.2,24547,46828
Arkansas,Crittenden County,48672,13.6,2.3,82.6,17.4,58.5,22.2,8.4,8.5,23172,40161
Arkansas,Faulkner County,123624,12.2,3.6,91.8,30.6,77.4,16.7,8.8,3.3,26913,52827
Arkansas,Garland County,98555,23.3,4.5,89.1,21.6,69.8,18.6,10.5,5.5,27171,44777
Arkansas,Greene County,44937,15.7,1.7,88.2,16.2,64.3,16.4,7.7,6.5,23494,47056
Arkansas,Hot Spring County,33597,18.7,2.5,85.8,13.3,55.2,18,7.1,5.9,21866,43889
Arkansas,Independence County,37427,17.2,4.2,86,17.5,63,16.7,8.7,4.8,23733,44319
Arkansas,Jefferson County,69282,16.8,2.5,86.1,18,56.6,22.2,6.8,8.4,21472,40726
Arkansas,Johnson County,26372,16.2,9.8,78.9,15.4,60.1,22.7,11.1,3.3,21010,38511
Arkansas,Lonoke County,72528,13.2,3.8,89.1,20.6,73.9,12.2,7.6,3.4,27293,59094
Arkansas,Miller County,43572,16.4,2.2,86.5,16.8,62.8,20.1,9.4,6.5,23729,43371
Arkansas,Mississippi County,42126,14.5,3,81.1,13.8,58.8,24.3,7.4,7.4,22750,39962
Arkansas,Ouachita County,23830,19.6,2.8,86,14.5,55.9,23.2,7.1,7.8,21562,35425
Arkansas,Phillips County,18606,18.1,0.5,80.3,13.8,51.2,34.5,8.4,10.1,18651,29320
Arkansas,Pope County,63761,15.3,6.1,84.5,22.8,69.5,18.8,8.6,5.6,23391,43462
Arkansas,Pulaski County,392967,15,4.4,90.4,34.3,72,16.8,7.9,4.4,32692,51749
Arkansas,St. Francis County,25900,16.1,2,81.9,10.4,46.3,24.9,8.6,5.6,18447,35348
Arkansas,Saline County,119415,17.5,3.6,90.6,26.7,74.4,9.2,6,3.3,30553,64412
Arkansas,Sebastian County,127591,15.6,9.5,84.1,21.3,66.7,18.5,10.4,3.8,25961,46228
Arkansas,Union County,39449,17.2,2.9,84.9,21.1,60.8,19.1,7.5,4.7,25193,44663
Arkansas,Washington County,232289,11.4,11.7,85,33.3,77.9,16.4,11.6,4.1,27790,50451
Arkansas,White County,78762,16.1,4.9,84.4,20.9,64.8,15.7,8.3,5.2,23702,44029
California,Alameda County,1656754,13.5,14.7,88.4,47.4,86.7,9.9,4.4,4.4,47314,99406
California,Butte County,225817,18,10.6,89.2,27.2,81.8,19.1,6.2,7.7,29506,52537
California,Contra Costa County,1142251,15.4,16.4,89.5,42.4,86,8.7,5.1,5,48178,99716
California,El Dorado County,188563,20.5,6.9,93.4,34.3,85.8,8.4,4.6,5.4,42749,83377
California,Fresno County,984521,12,35.6,76,21.2,70.5,22.5,8.3,8.2,24422,53969
California,Humboldt County,135940,17.3,7.7,90.5,30.4,78.7,20.1,8.2,6.8,28769,48041
California,Imperial County,180701,12.6,77.4,69.7,15.2,67.1,24.1,8,13.7,18018,47622
California,Kern County,887641,10.7,37.8,74.1,16.4,70,21,7.9,9.4,23326,53350
California,Kings County,150691,10,35.9,73.4,14.7,70.9,18.2,7.5,7.3,22373,57848
California,Lake County,64195,22.3,12.5,85.8,15.5,73.2,18.6,7.1,8.4,27362,47040
California,Los Angeles County,10081570,13.3,34.6,79.1,32.5,80.3,14.9,9.6,5.7,34156,68044
California,Madera County,155433,13.8,40.3,71.9,14.6,70.8,19.9,8.3,8.1,22853,57585
California,Marin County,259943,21.6,9.7,93.3,59.5,90.2,7.2,3.5,3.6,72466,115246
California,Mendocino County,87224,21.2,15.1,86.5,24.4,74.8,17.8,8.6,8.5,29035,51416
California,Merced County,271382,11,44.2,69.1,13.8,69,21.2,8.3,10.4,23011,53672
